Datum;Datum1;BundeslandID;Bevölkerung;Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100
21.01.2021;2021-01-21T23:59:59+01:00;7;768443;Tirol;12553;1.63356293179846;14200;1.8478924266341201
21.01.2021;2021-01-21T23:59:59+01:00;8;404415;Vorarlberg;10130;2.50485268845122;10438;2.5810120791760895
21.01.2021;2021-01-21T23:59:59+01:00;9;1962779;Wien;41209;2.09952317606822;51391;2.61827745253032
21.01.2021;2021-01-21T23:59:59+01:00;10;9061848;Österreich;166513;1.83751702743193;210362;2.3214028749985696
22.01.2021;2021-01-22T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
22.01.2021;2021-01-22T23:59:59+01:00;1;300457;Burgenland;4851;1.6145405166130302;5946;1.97898534565678
22.01.2021;2021-01-22T23:59:59+01:00;2;567644;Kärnten;11850;2.08757601595366;14767;2.6014544327078197
22.01.2021;2021-01-22T23:59:59+01:00;3;1713465;Niederösterreich;25083;1.4638758305538797;31810;1.85647211936048
22.01.2021;2021-01-22T23:59:59+01:00;4;1517477;Oberösterreich;26837;1.76852762842534;37650;2.48109197042196
22.01.2021;2021-01-22T23:59:59+01:00;5;566751;Salzburg;10215;1.80237882244584;14154;2.49739303503655
22.01.2021;2021-01-22T23:59:59+01:00;6;1260417;Steiermark;26013;2.06384077650492;33450;2.65388359566715
22.01.2021;2021-01-22T23:59:59+01:00;7;768443;Tirol;12923;1.68171224150653;15863;2.06430405378148
22.01.2021;2021-01-22T23:59:59+01:00;8;404415;Vorarlberg;10130;2.50485268845122;10810;2.6729967978438
22.01.2021;2021-01-22T23:59:59+01:00;9;1962779;Wien;41209;2.09952317606822;51547;2.62622536719621
22.01.2021;2021-01-22T23:59:59+01:00;10;9061848;Österreich;169111;1.86618667627177;215312;2.37602749461258
23.01.2021;2021-01-23T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
23.01.2021;2021-01-23T23:59:59+01:00;1;300457;Burgenland;4901;1.6311818330077201;6132;2.04089104264504
23.01.2021;2021-01-23T23:59:59+01:00;2;567644;Kärnten;11850;2.08757601595366;14767;2.6014544327078197
23.01.2021;2021-01-23T23:59:59+01:00;3;1713465;Niederösterreich;25128;1.4665020878745703;31810;1.85647211936048
23.01.2021;2021-01-23T23:59:59+01:00;4;1517477;Oberösterreich;26837;1.76852762842534;37650;2.48109197042196
23.01.2021;2021-01-23T23:59:59+01:00;5;566751;Salzburg;10355;1.8270810285292802;14154;2.49739303503655
23.01.2021;2021-01-23T23:59:59+01:00;6;1260417;Steiermark;26013;2.06384077650492;33450;2.65388359566715
23.01.2021;2021-01-23T23:59:59+01:00;7;768443;Tirol;12923;1.68171224150653;16157;2.10256323500897
23.01.2021;2021-01-23T23:59:59+01:00;8;404415;Vorarlberg;10130;2.50485268845122;10810;2.6729967978438
23.01.2021;2021-01-23T23:59:59+01:00;9;1962779;Wien;41569;2.11786451760489;51547;2.62622536719621
23.01.2021;2021-01-23T23:59:59+01:00;10;9061848;Österreich;169706;1.8727526659021398;215792;2.3813244274236296
24.01.2021;2021-01-24T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
24.01.2021;2021-01-24T23:59:59+01:00;1;300457;Burgenland;4901;1.6311818330077201;6132;2.04089104264504
24.01.2021;2021-01-24T23:59:59+01:00;2;567644;Kärnten;11850;2.08757601595366;14767;2.6014544327078197
