date;date1;state_id;state_name;age_group;gender;vaccine;dose_number;doses_administered_cumulative
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;Dez.14;Male;BioNTechPfizer;1;668
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;Dez.14;NonBinary;BioNTechPfizer;1;0
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;Dez.14;NotAssigned;BioNTechPfizer;1;0
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;15-24;Female;BioNTechPfizer;1;7197
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;15-24;Male;BioNTechPfizer;1;8816
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;15-24;NonBinary;BioNTechPfizer;1;7
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;15-24;NotAssigned;BioNTechPfizer;1;0
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;25-34;Female;BioNTechPfizer;1;9915
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;25-34;Male;BioNTechPfizer;1;14666
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;25-34;NonBinary;BioNTechPfizer;1;15
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;25-34;NotAssigned;BioNTechPfizer;1;0
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;35-44;Female;BioNTechPfizer;1;8133
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;35-44;Male;BioNTechPfizer;1;11635
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;35-44;NonBinary;BioNTechPfizer;1;4
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;35-44;NotAssigned;BioNTechPfizer;1;0
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;45-54;Female;BioNTechPfizer;1;9895
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;45-54;Male;BioNTechPfizer;1;9136
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;45-54;NonBinary;BioNTechPfizer;1;2
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;45-54;NotAssigned;BioNTechPfizer;1;0
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;55-64;Female;BioNTechPfizer;1;6514
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;55-64;Male;BioNTechPfizer;1;5745
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;55-64;NonBinary;BioNTechPfizer;1;1
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;55-64;NotAssigned;BioNTechPfizer;1;0
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;65-74;Female;BioNTechPfizer;1;2857
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;65-74;Male;BioNTechPfizer;1;2379
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;65-74;NonBinary;BioNTechPfizer;1;0
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;65-74;NotAssigned;BioNTechPfizer;1;0
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;75-84;Female;BioNTechPfizer;1;2943
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;75-84;Male;BioNTechPfizer;1;2739
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;75-84;NonBinary;BioNTechPfizer;1;0
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;75-84;NotAssigned;BioNTechPfizer;1;0
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;85+;Female;BioNTechPfizer;1;5007
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;85+;Male;BioNTechPfizer;1;2572
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;85+;NonBinary;BioNTechPfizer;1;0
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;85+;NotAssigned;BioNTechPfizer;1;0
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;NotAssigned;Female;BioNTechPfizer;1;0
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;NotAssigned;Male;BioNTechPfizer;1;0
